SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Cr,Co,Ni,A,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
55.61530418,0.748296894,15.38621129,6.572649165,0.143581523,8.877342044,7.983046232,3.332856643,1.190201797,0.150510233,10.18111377,23.38011255,3.908889846,13.68525604,3.41278185,1.073257271,3.497736435,0.547913301,3.038464079,0.552627831,1.73503681,0.289119802,1.596017629,0.273781299,514.028728,24.07301626,20.35261751,509.0459701,3.147620576,3.505087918,0.46239774,1.639406361,0.775862622,4.00280383,223.1799542,27.50758615,197.3640676,438.7966156,49.46250057,223.1864694,4.52305844,21.35290079,4.310654574,14.64903152,9.270959308,2.983230166,1.90377852,2.138310873,65.39531796,0.039594319,8.574627114,0.086980401,0.971216581,0.568489461,1.027185622,2.191539975,2.57922314,0.56658302,0.06810141,8.113633388,15.95184009,1.130836389,2.223285226,19.72024081
65.13881878,0.686521959,15.59818274,5.471983847,0.121150934,2.069661787,4.835941444,4.209994952,1.726400808,0.141342756,11.93,26.32,3.83,17.22,4.33,1.16,4.81,0.88,5.12,1.13,3.19,0.496232604,3.34,0.54,252,33.4,34.3,562,4.26,3.97,0.27,3.11,1.44,7.32,161.1,17.9,125.8,21.4,12.2,7.2,5.93639576,7.54491018,2.413679453,7.880239521,4.823353293,2.755196305,1.532934132,1.296407186,37.20554273,0.136111111,5.155688623,0.126760563,0.788023952,0.515568862,0.931137725,1.44011976,4.467408585,1.227557411,0.093113772,0.402234637,1.195530726,0.057233704,0.170111288,31.52721506
62.73336039,0.689935065,16.60917208,5.681818182,0.111607143,2.637987013,6.057224026,3.764204545,1.582792208,0.131899351,11.75,25.85,3.79,16.83,4.15,1.16,4.6,0.84,4.84,1.06,3,0.46436293,3.11,0.51,283,30.2,33.5,529,4.36,3.81,0.25,3.5,1.56,7.59,160.8,20.8,142.8,23.7,14.8,6.1,5.346996753,9.370860927,2.553072185,8.311897106,5.324503311,2.831325301,1.556270096,1.334405145,38.74698795,0.118374558,5.411575563,0.116972477,0.855960265,0.557284768,1.125401929,1.479099678,3.704481793,0.882747069,0.11589404,0.293269231,1.139423077,0.042717087,0.165966387,31.52721506
64.2971246,0.62899361,16.10423323,5.381389776,0.109824281,2.416134185,5.501198083,3.943690096,1.507587859,0.109824281,10.3,22.43,3.26,14.52,3.62,1.04,4,0.73,4.21,0.92,2.63,0.405113277,2.7,0.43,283,27.1,29.4,527,3.11,3.21,0.22,2.65,1.13,5.53,107.7,18.7,131.9,21.4,14.6,6.1,5.451277955,10.44280443,2.577858512,8.307407407,3.974169742,2.845303867,1.559259259,1.340740741,29.75138122,0.103886926,5.377777778,0.138263666,0.827675277,0.535793358,0.981481481,1.481481481,3.995451099,0.99092559,0.097785978,0.326203209,1.144385027,0.046247157,0.162244124,31.48690864
65.0070267,0.612326842,16.24171853,4.938767316,0.110419594,2.077896005,5.18972094,4.105601285,1.586026902,0.130495884,10.95,24.16,3.49,15.33,3.71,1.08,4.08,0.73,4.17,0.89,2.52,0.381581223,2.5,0.39,304,25.2,29,531,2.65,3.23,0.23,2.37,1.05,5.31,82.5,16.3,122.6,7.7,12.5,5.2,5.691628187,12.06349206,2.959782016,9.664,3.273809524,2.95148248,1.668,1.484,22.23719677,0.095394737,6.132,0.147169811,0.958730159,0.608333333,0.948,1.632,4.331158238,1.096711799,0.094047619,0.319018405,0.472392638,0.042414356,0.062805873,31.48690864
61.25612561,0.730073007,16.63166317,5.98059806,0.120012001,3.140314031,6.740674067,3.890389039,1.370137014,0.140014001,10.14,22.23,3.33,15.19,3.82,1.12,4.33,0.78,4.53,0.99,2.8,0.432458719,2.89,0.46,320,28.1,26.4,450,3.67,3.26,0.22,2.63,1.19,6.05,133.3,23.4,179.2,41.8,18.2,11.8,5.260526053,11.38790036,2.370968198,7.692041522,4.743772242,2.654450262,1.567474048,1.321799308,34.89528796,0.0825,5.256055363,0.125340599,0.791103203,0.540569395,0.910034602,1.498269896,2.511160714,0.78041543,0.093594306,0.504273504,1.786324786,0.065848214,0.233258929,31.48690864
53.54110478,0.859055039,18.27989212,9.269803216,0.159824193,4.734791729,9.309759265,3.176505844,0.539406653,0.129857157,5.41,11.8,1.85,9.27,2.69,0.97,3.23,0.53,3.62,0.76,2.19,0.31,2.1,0.32,291,19,10,238,1.53,1,0.07,0.88,0.5,5.51,57,39,270,34,28,33,3.715912496,15.31578947,1.740858959,5.619047619,3,2.011152416,1.723809524,1.280952381,21.18959108,0.034364261,4.414285714,0.209150327,0.621052632,0.487894737,0.419047619,1.538095238,0.881481481,0.399141631,0.046315789,0.846153846,0.871794872,0.122222222,0.125925926,24.30384185
52.57926647,0.765331478,18.28844051,9.333068283,0.159029918,5.645562071,9.909551734,2.693569228,0.526786602,0.099393698,4,9.42,1.33,6.61,1.97,0.74,2.38,0.39,2.74,0.57,1.67,0.25,1.64,0.25,298,17,13,202,1.48,1,0.09,1.1,0.63,4.79,52,32,274,66,30,53,3.220355829,17.52941176,1.64816907,5.743902439,3.058823529,2.030456853,1.670731707,1.201219512,26.39593909,0.043624161,4.030487805,0.168918919,0.554117647,0.388823529,0.670731707,1.451219512,0.737226277,0.324974925,0.064705882,1.65625,2.0625,0.193430657,0.240875912,24.90124762
62.5,1.035031847,15.32643312,8.349920382,0.159235669,1.741640127,4.6875,4.667595541,1.323646497,0.208996815,9.46,22.1,3.12,15.2,4.25,1.31,4.87,0.79,5.45,1.14,3.35,0.49,3.25,0.51,257,33,32,465,3.46,4,0.09,2.72,1.58,12.3,121,24,99,24,10,85,5.991242038,7.787878788,1.966950325,6.8,3.666666667,2.225882353,1.676923077,1.307692308,28.47058824,0.124513619,4.676923077,0.147398844,0.66969697,0.460606061,0.836923077,1.498461538,4.696969697,1.278131635,0.082424242,3.541666667,1,0.858585859,0.242424242,24.87003794
53.03566017,0.697040105,21.10314173,7.192645722,0.131326397,3.656935044,10.58692797,2.818466512,0.656631983,0.121224366,5.4,12.14,1.63,7.94,2.25,0.86,2.37,0.42,2.53,0.53,1.59,0.24,1.57,0.22,376,14,14,258,1.31,1.42,0.05,1.14,0.62,9.08,45,27,281,29,17,15,3.475098495,26.85714286,2.324233326,7.732484076,3.214285714,2.4,1.611464968,1.433121019,20,0.037234043,5.057324841,0.167938931,0.867142857,0.567142857,0.72611465,1.50955414,0.918149466,0.328244275,0.081428571,0.555555556,1.074074074,0.053380783,0.103202847,24.76683403
