SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y ,Rb,Ba,Hf,Nb,Ta,Th,U ,Pb,Zr,Sc,V ,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
49.59811165,2.751516698,18.37042031,10.54535971,0.171969794,4.875849442,7.748756583,4.046348085,1.224020296,0.667647434,29,72,8.9,37,7.9,2.67,7.5,1.04,6.1,1.07,2.73,0.38,2.36,0.35,727,31,14,547,5,25,1.96,2.5,0.73,4.1,187,18,299,9,14,5.270368381,0.935483871,0.806451613,30.38888889,10.59322034,23.4516129,8.347636416,30.50847458,6.032258065,3.670886076,2.584745763,3.347457627,23.67088608,0.019257221,15.6779661,0.07,2.322580645,1.193548387,1.059322034,3.177966102,1.829431438,0.680156658,0.080645161,0.5,0.777777778,0.030100334,0.046822742,38.70708
48.0563021,1.987977039,16.52252346,10.91631461,0.17242658,9.179179696,9.453033676,2.667540619,0.73027728,0.31442494,21,47,5.9,23.1,4.9,1.72,4.7,0.7,4.1,0.76,2.07,0.28,1.89,0.27,437,23,9,313,3,18,1.54,2.2,0.59,2.3,130,27,278,63,334,3.397817899,0.913043478,0.782608696,11.59259259,9.523809524,19,7.548054383,24.86772487,5.652173913,4.285714286,2.169312169,2.592592593,26.53061224,0.020594966,12.22222222,0.09,2.043478261,1.004347826,1.164021164,2.486772487,1.125899281,0.35944206,0.095652174,2.333333333,12.37037037,0.226618705,1.201438849,37.55923
50.47832262,2.633299334,16.93414033,11.46037393,0.182305339,4.699426504,8.386045572,3.494185655,1.336905816,0.3949949,26,63,8.2,33,7.2,2.23,6.3,1.05,5.9,1.2,3.07,0.46,2.6,0.38,432,31,28,463,5,26,2.06,3.9,0.79,5.6,196,26,346,24,46,4.831091471,0.838709677,0.838709677,17.80769231,10,13.93548387,6.793248945,24.23076923,6.322580645,3.611111111,2.269230769,2.769230769,27.22222222,0.064814815,12.69230769,0.076,2.032258065,1.064516129,1.5,2.423076923,1.338150289,0.576086957,0.125806452,0.923076923,1.769230769,0.069364162,0.132947977,37.98869
50.74082414,2.390663705,16.5928269,11.71765176,0.192468688,5.034575683,8.357193034,3.423916662,1.2763713,0.273508136,26,58,7.4,30,6.5,1.89,6,0.95,5.4,1.07,2.76,0.4,2.45,0.35,447,31,24,447,5,19,1.67,3.2,0.66,5.7,187,29,327,15,28,4.700287962,0.838709677,0.612903226,15.4137931,7.755102041,14.41935484,7.209162146,23.67346939,6.032258065,4,2.204081633,2.653061224,28.76923077,0.053691275,12.24489796,0.07,1.870967742,0.967741935,1.306122449,2.448979592,1.366972477,0.562424242,0.103225806,0.517241379,0.965517241,0.04587156,0.085626911,38.6623
50.8332799,2.359863363,16.4684027,11.69249502,0.19243521,5.003315455,8.20381684,3.696781663,1.266021117,0.28358873,27,65,8,30.7,6.5,2.01,6.4,0.93,5.6,1.02,2.71,0.38,2.48,0.35,440,32,25,460,5,25,1.73,3.6,0.76,5.9,204,24,333,16,30,4.96280278,0.84375,0.78125,19.16666667,10.08064516,13.75,7.395875868,26.20967742,6.375,4.153846154,2.258064516,2.620967742,31.38461538,0.056818182,12.37903226,0.07,2.03125,0.959375,1.451612903,2.580645161,1.381381381,0.604938272,0.1125,0.666666667,1.25,0.048048048,0.09009009,38.6623
47.92460582,1.789758007,15.38169167,11.12573099,0.184089395,6.565855087,12.9271664,3.190882846,0.623858505,0.286361281,21.9,41.2,5.25,21.9,4.7,1.6,4.67,0.72,4.28,0.85,2.35,0.32,2.01,0.3,446,25,13.4,375,2.58,23,1.28,2.21,0.72,2.07,112,31,250,103,105,3.814741351,0.876,0.92,12.09677419,11.44278607,17.84,7.401599597,20.49751244,4.48,4.659574468,2.129353234,2.338308458,23.82978723,0.030044843,10.89552239,0.11627907,1.648,0.876,1.099502488,2.323383085,1.5,0.295094937,0.0884,3.322580645,3.387096774,0.412,0.42,38.66652
48.39026968,1.86311145,15.10740372,11.27944278,0.21263772,6.875286276,12.17097806,3.219942615,0.577159525,0.303768171,32.3,47.5,6.85,28.3,5.95,1.86,6.28,0.98,6.01,1.25,3.55,0.5,3.13,0.49,126,23,39,13.2,2.71,117,1.31,2.27,0.54,1.93,37,87,96,48,451,3.79710214,1.404347826,5.086956522,0.151724138,37.38019169,5.47826087,7.010285653,15.17571885,1.608695652,5.428571429,1.920127796,1.900958466,6.218487395,0.30952381,9.041533546,0.180811808,2.065217391,1.230434783,0.725239617,2.006389776,0.1375,0.311980033,0.098695652,0.551724138,5.183908046,0.5,4.697916667,38.65233
47.93283915,1.881702846,16.0450576,10.7506317,0.182100275,6.474676458,12.85830278,3.004654544,0.526067462,0.343967187,18.9,39.5,4.81,21.2,4.53,1.65,4.79,0.7,4.2,0.81,2.27,0.3,1.96,0.28,121,17.9,24,10.6,2.27,97,0.99,1.61,0.37,1.8,35,77,124,41,484,3.530722006,1.055865922,5.418994413,0.137662338,49.48979592,6.759776536,6.550632911,20.15306122,1.955307263,4.17218543,2.142857143,2.31122449,7.726269316,0.198347107,10.81632653,0.123348018,2.206703911,1.184357542,0.821428571,2.443877551,0.085483871,0.274586939,0.089944134,0.532467532,6.285714286,0.330645161,3.903225806,39.49997
47.14174783,1.81001534,15.63934602,10.4855897,0.183035259,6.914665342,14.04287182,2.93873277,0.508431275,0.335564642,17.6,36.6,4.75,20.5,4.49,1.61,4.46,0.69,4.01,0.8,2.16,0.3,1.85,0.28,110,17.4,22,8.8,2.22,93,1.01,1.62,0.42,1.54,32,76,141,44,461,3.447164045,1.011494253,5.344827586,0.115789474,50.27027027,6.32183908,6.462766564,19.78378378,1.83908046,3.919821826,2.167567568,2.427027027,7.126948775,0.2,11.08108108,0.126126126,2.103448276,1.17816092,0.875675676,2.410810811,0.062411348,0.245474294,0.093103448,0.578947368,6.065789474,0.312056738,3.269503546,39.38631
48.30538427,1.929790503,14.93314327,11.48222723,0.202072304,6.678489647,12.18495993,3.303882171,0.687045834,0.293004841,21.5,44.7,5.51,23.2,5.06,1.71,5.06,0.78,4.68,0.93,2.56,0.35,2.23,0.34,157,23,26,14.8,2.83,123,1.35,2.4,0.58,2.26,35,80,109,44,438,3.990928005,0.934782609,5.347826087,0.185,55.15695067,6.826086957,6.549544947,20.04484305,1.52173913,4.249011858,2.098654709,2.269058296,6.916996047,0.165605096,10.40358744,0.120141343,1.943478261,1.008695652,1.076233184,2.269058296,0.135779817,0.327529022,0.104347826,0.55,5.475,0.403669725,4.018348624,39.32528
