SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Cr,Co,Ni,A,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
46.85,2.86,13.56,12.39,0.17,9.36,9.07,3.04,1.98,0.72,34.4,66,7.97,32.9,7.05,2.46,6.99,0.99,5.22,0.86,2.22,0.28,1.55,0.21,781,24.5,24.4,390,4.86,52.8,3.73,4.03,1.22,4.5,221,19.4,213,226,99.9,203,5.02,31.88,15,42.58,9.02,4.88,3.37,4.55,31.35,0.03,21.23,0.04,2.69,1.34,2.6,4.51,1.83,0.55,0.16,10.46,11.65,0.95,1.06
56.11,0.79,17.99,8.13,0.23,3,5.71,3.49,4.23,0.33,28.7,57.3,6.38,26.6,5.15,1.54,4.32,0.63,3.4,0.65,1.8,0.28,1.81,0.29,998,16,78,973,2.33,6.37,0.43,3.71,1.96,12.8,87,9.25,197,74.4,17.5,33,7.72,62.38,10.71,31.66,5.44,5.57,1.88,2.85,16.89,0.08,14.7,0.12,3.58,1.66,2.05,2.39,4.94,1.35,0.23,3.57,8.04,0.17,0.38
53.89,0.87,18,7.9,0.23,3.34,6.61,4.43,4.36,0.38,25.5,59.6,6.93,27.2,4.83,1.43,3.87,0.55,2.84,0.54,1.46,0.23,1.48,0.24,1021,14.3,134,988,3,6.88,1.45,5.37,2.02,18.5,127,12,180,74.9,31.7,35.2,8.78,71.4,11.64,40.27,8.88,5.28,1.92,3.26,26.29,0.13,18.38,0.08,4.17,1.9,3.63,2.61,5.49,1.33,0.38,2.93,6.24,0.2,0.42
53.55,1.08,18.75,7.91,0.18,3.46,6.49,4.24,3.83,0.51,35.4,71.6,9.24,36.5,6.7,1.91,5.37,0.8,4.21,0.77,2.14,0.33,2.11,0.33,1208,23.7,129,791,2.1,7.89,0.53,7.57,2.22,23.6,65,16.5,200,5.1,22.4,6,8.07,50.97,11.34,33.93,2.74,5.28,2,3.18,9.7,0.11,17.3,0.16,3.02,1.54,3.59,2.55,3.96,1.24,0.32,0.36,0.31,0.03,0.03
53.43,0.89,18.68,8.13,0.14,4.04,6.83,3.95,3.51,0.39,27.9,53.9,6.79,26.6,4.91,1.44,3.92,0.59,3.02,0.57,1.53,0.24,1.53,0.25,1096,17.2,122,495,2.42,8.88,0.66,11.7,3.47,37.1,83,16.3,219,34.9,21.7,25,7.47,63.72,12.32,35.23,4.83,5.68,1.97,3.21,16.9,0.11,17.39,0.1,3.13,1.55,7.65,2.56,2.26,1.09,0.68,1.53,2.14,0.11,0.16
51.28,1.39,17.78,8.69,0.19,3.55,9.01,4.17,3.41,0.51,46.2,93.5,11.8,46.5,8.09,2.19,6.28,0.96,5.12,0.96,2.7,0.42,2.72,0.43,1246,29.4,108,762,6.33,17.8,1.23,19.8,5.5,16.1,269,14.9,237,5.5,23.8,4.4,7.58,42.38,11.48,34.38,9.15,5.71,1.88,2.97,33.25,0.09,17.1,0.07,3.18,1.58,7.28,2.31,3.22,0.84,0.67,0.3,0.37,0.02,0.02
51.66,1.34,17.36,8.49,0.2,3.31,8.4,4.52,4.18,0.53,67.9,132.1,16.4,60.4,10,2.45,7.48,1.09,5.72,1.1,3.07,0.49,3.26,0.52,1346,33.6,177,787,9.73,33.2,2.33,46,13,22.9,447,12.2,227,5.2,23.6,5.4,8.7,40.06,14.07,40.52,13.3,6.79,1.75,3.07,44.7,0.13,18.53,0.05,3.93,1.8,14.11,2.29,3.47,1.04,1.37,0.44,0.43,0.02,0.02
53.79,1.27,16.82,8.07,0.18,3.1,8.18,4.82,3.26,0.52,43.8,89.2,11.5,45.2,7.9,2.17,6,0.87,4.56,0.84,2.35,0.36,2.27,0.36,1462,25.5,74,949,4.78,11.7,0.79,9.88,2.68,14.7,187,12,211,8.5,22,5.3,8.08,57.33,13.04,39.3,7.33,5.54,2.01,3.48,23.67,0.05,19.91,0.08,3.5,1.77,4.35,2.64,4.5,0.99,0.39,0.44,0.71,0.03,0.04
54.2,1.27,16.86,8.04,0.16,3.7,8.37,4.12,2.86,0.43,39.3,78.3,9.91,38.6,6.91,1.94,5.49,0.79,4.13,0.77,2.06,0.31,1.93,0.31,960,22.7,67,743,3.72,12.3,0.81,8.17,2.12,14.2,138,16.2,225,11.5,23,8.9,6.98,42.29,13.76,40.57,6.08,5.69,2.14,3.58,19.97,0.07,20,0.08,3.45,1.7,4.23,2.84,3.3,0.83,0.36,0.55,0.71,0.04,0.05
55.02,1.27,16.63,7.87,0.16,3.61,8.1,4.07,2.83,0.43,40.6,80.3,10.2,39.6,6.94,1.92,5.58,0.8,4.17,0.78,2.05,0.3,1.95,0.31,952,23,71,753,3.69,12.8,0.83,8.78,2.21,16.6,134,15,220,11.4,22.8,8.4,6.89,41.39,14.07,41.18,5.83,5.85,2.14,3.56,19.31,0.07,20.31,0.08,3.49,1.72,4.5,2.86,3.42,0.85,0.38,0.56,0.76,0.04,0.05
