SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
62.59,0.61,15.77,5.96,0.1,4.17,5.75,2.31,2.63,0.11,34.4,62.7,6.9,25.2,4.6,0.97,4.33,0.757,4.57,0.804,2.54,0.395,2.57,0.39,183,23.4,113,280,1.88,8.62,0.818,14.7,0.897,17.4,40.4,24.7,159,15.4,87.1,4.94,1.47008547,0.368376068,11.33603239,3.354085603,7.820512821,9.60120836,24.39688716,1.726495726,7.47826087,1.778210117,1.789883268,8.782608696,0.617486339,9.805447471,0.207446809,2.679487179,1.076923077,5.719844358,1.684824903,1.761006289,0.858676208,0.628205128,0.623481781,3.526315789,0.096855346,0.547798742
65.02,0.57,14.6,5.67,0.11,4.35,4.85,2.16,2.58,0.09,24.1,49.9,5.83,23.1,4.89,0.895,4.43,0.788,4.78,0.839,2.49,0.415,2.61,0.406,164,23.6,110,424,1.41,9.36,0.895,10.7,0.825,15.4,18.5,23.7,147,25.9,170,4.74,1.021186441,0.396610169,17.89029536,3.586206897,6.949152542,6.623340932,19.11877395,0.783898305,4.928425358,1.831417625,1.873563218,3.783231084,0.670731707,8.850574713,0.287943262,2.11440678,0.978813559,4.099616858,1.697318008,2.884353741,0.976645435,0.453389831,1.092827004,7.172995781,0.176190476,1.156462585
63.71,0.54,15.93,5.3,0.1,3.24,5.87,2.25,2.95,0.1,35.8,64.5,6.76,25,4.56,1.01,4.24,0.738,4.35,0.782,2.33,0.39,2.26,0.346,236,22.2,120,498,1.71,9.33,0.835,16.5,2.89,15.7,57.9,19.1,130,12.3,53,5.2,1.612612613,0.42027027,26.07329843,4.128318584,10.63063063,11.36253314,28.53982301,2.608108108,7.850877193,1.924778761,2.017699115,12.69736842,0.508474576,11.0619469,0.202339181,2.905405405,1.126126126,7.300884956,1.876106195,3.830769231,0.886164623,0.743243243,0.643979058,2.77486911,0.094615385,0.407692308
62.41,0.6,15.72,5.99,0.12,4.45,6.33,1.98,2.28,0.11,27.1,53,5.86,23,4.34,0.992,4.3,0.727,4.47,0.828,2.56,0.398,2.38,0.377,200,23.7,116,416,1.06,8.94,0.768,12.1,1.44,12.9,18.5,23.4,154,23.8,157,4.27,1.143459916,0.37721519,17.77777778,3.756302521,8.438818565,8.167570826,22.26890756,0.780590717,6.244239631,1.878151261,1.823529412,4.262672811,0.58,9.663865546,0.355660377,2.23628692,0.970464135,5.084033613,1.806722689,2.701298701,0.673701299,0.510548523,1.017094017,6.709401709,0.154545455,1.019480519
78.9,0.11,12.27,1.08,0.02,0.14,0.43,2.53,4.48,0.04,29.3,54.7,6.25,21.8,4.08,0.401,4.14,0.785,4.45,0.868,2.87,0.467,3.09,0.455,43.3,27.9,171,257,4.01,14.9,1.55,17.1,2.79,22.1,95.4,3.29,8.88,1.83,6.79,7.01,1.050179211,0.534050179,78.11550152,4.822006472,1.551971326,6.801578523,17.70226537,3.419354839,7.181372549,1.44012945,1.32038835,23.38235294,3.949191686,7.055016181,0.113466334,1.960573477,0.781362007,5.533980583,1.339805825,28.94144144,16.47619048,0.612903226,0.556231003,2.063829787,0.206081081,0.76463964
63.96,0.53,15.01,5.47,0.11,4.4,5.79,2.13,2.49,0.1,29,55.3,6.12,23,4.44,1.03,4.4,0.712,3.88,0.838,2.27,0.394,2.56,0.361,173,21.9,103,391,1.81,8.71,0.839,13.3,1.32,13.5,45.7,22.4,153,32.9,170,4.62,1.324200913,0.397716895,17.45535714,3.40234375,7.899543379,8.125659283,21.6015625,2.086757991,6.531531532,1.515625,1.734375,10.29279279,0.595375723,8.984375,0.199447514,2.525114155,1.050228311,5.1953125,1.71875,2.555555556,0.797178131,0.607305936,1.46875,7.589285714,0.21503268,1.111111111
60.66,0.63,15.56,6.77,0.14,5.21,7.2,1.92,1.8,0.11,23.8,46,5.36,21,3.95,1.05,4.22,0.695,4.01,0.732,2.41,0.369,2.51,0.384,195,23.6,70.5,280,1.53,7.64,0.642,7.49,1.47,13.5,27.8,26.6,173,22.1,139,3.72,1.008474576,0.323728814,10.52631579,3.043824701,8.262711864,6.801486039,18.32669323,1.177966102,6.025316456,1.597609562,1.573705179,7.037974684,0.361538462,8.366533865,0.250980392,1.949152542,0.889830508,2.984063745,1.6812749,1.61849711,0.517142857,0.317372881,0.830827068,5.22556391,0.127745665,0.803468208
64.27,0.56,15.59,5.72,0.11,3.01,5.71,2.28,2.64,0.12,18.6,39.4,4.67,18.9,3.94,0.915,3.63,0.71,4.09,0.79,2.3,0.396,2.36,0.391,225,22.4,105,328,0.988,8.81,1.08,10.8,1.17,8.61,18.8,18.6,141,6.78,24.8,4.91,0.830357143,0.393303571,17.6344086,3.733050847,10.04464286,5.653293285,16.69491525,0.839285714,4.720812183,1.733050847,1.669491525,4.771573604,0.466666667,8.008474576,0.395748988,1.758928571,0.84375,4.576271186,1.538135593,2.326241135,0.860962567,0.482142857,0.364516129,1.333333333,0.048085106,0.175886525
59.76,1.53,11.86,5.21,0.06,7.23,3.71,1.6,8.44,0.6,73.6,190,32.3,148,31.5,4.73,13.8,1.45,5.28,0.81,2.03,0.26,1.71,0.24,689,26.4,517,2914,17.7,34.3,1.9,225,36.8,68.4,694,15,94.82,211,317,10.04,2.787878788,1.299242424,194.2666667,20.05847953,26.09848485,30.873245,111.1111111,26.28787879,2.336507937,3.087719298,18.42105263,22.03174603,0.750362845,86.5497076,0.013559322,7.196969697,5.606060606,131.5789474,8.070175439,30.7319131,2.706043956,8.522727273,14.06666667,21.13333333,2.225268931,3.343176545
58.93,1.5,11.5,5.43,0.08,7.88,3.65,1.56,8.7,0.76,49.6,149,26.2,127,28,4.26,12.5,1.3,4.95,0.75,1.91,0.24,1.58,0.23,704,23.2,662,2993,18.5,35.2,2,241,38,61.3,706,15.4,107,234,365,10.26,2.137931034,1.517241379,194.3506494,22.27848101,30.34482759,22.51775891,94.30379747,30.43103448,1.771428571,3.132911392,17.72151899,25.21428571,0.940340909,80.37974684,0.012432432,6.422413793,5.474137931,152.5316456,7.911392405,27.97196262,2.807799443,10.38793103,15.19480519,23.7012987,2.186915888,3.411214953
