SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
71.46,0.39,15.99,1.64,0.02,0.9,4.49,1.7,3.32,0.08,25.6,47.71,5.55,18.99,2.94,0.81,1.7,0.23,1.17,0.22,0.59,0.09,0.67,0.12,360,6.37,143,490,3.13,5.71,0.49,16.99,4.32,24.43,104,1.92,48.91,8.79,15.77,5.02,4.018838305,0.896389325,255.2083333,8.52238806,56.51491366,27.40726746,71.20895522,16.32653061,8.707482993,1.746268657,4.388059701,35.37414966,0.397222222,28.34328358,0.038338658,7.489795918,2.981161695,25.35820896,2.537313433,10.01840114,1.119909502,2.667189953,4.578125,8.213541667,0.179717849,0.322428951
70.18,0.61,15.81,1.2,0.02,1.21,1.09,4.58,5.28,0.02,29.18,56.64,6.94,24.67,3.82,0.82,2.2,0.27,1.29,0.21,0.57,0.09,0.59,0.1,330,5.96,252,661,3.58,5.67,0.4,12.56,5.29,12.69,130,5.07,63.96,14.96,35.61,9.86,4.895973154,0.951342282,130.3747535,9.610169492,55.36912752,35.47593506,96,21.81208054,7.638743455,2.186440678,6.474576271,34.03141361,0.763636364,41.81355932,0.027932961,9.503355705,4.139261745,21.28813559,3.728813559,10.33458412,9.056074766,2.10738255,2.950690335,7.023668639,0.233896185,0.556754221
71.01,0.52,15.77,2.28,0.04,1.76,0.92,3.77,3.92,0.02,11.03,22.26,2.63,9.35,1.5,0.27,0.94,0.13,0.72,0.14,0.38,0.07,0.49,0.09,715,3.77,97.87,1085,3.63,4.68,0.35,9.34,3.66,16.84,123,5.19,68.18,30.17,64.48,7.69,2.925729443,1.24137931,209.0558767,9.551020408,189.6551724,16.14655989,45.42857143,32.62599469,7.353333333,1.469387755,3.06122449,82,0.136881119,19.08163265,0.024793388,5.904509284,2.480106101,19.06122449,1.918367347,15.9137577,8.318681319,2.477453581,5.813102119,12.4238921,0.442505133,0.945731886
74.57,0.25,14.45,1.54,0.01,0.41,0.58,4.03,4.12,0.05,12.92,24.77,3.54,12.9,2.15,0.4,1.27,0.16,0.72,0.13,0.35,0.05,0.39,0.07,337,3.77,132,705,2.49,4.45,0.3,8.09,2.59,15.95,84.3,1.38,35.53,8.15,28.79,8.15,3.427055703,1.180371353,510.8695652,11.41025641,89.38992042,23.76284756,63.51282051,22.36074271,6.009302326,1.846153846,5.512820513,39.20930233,0.391691395,33.07692308,0.02811245,6.570291777,3.421750663,20.74358974,3.256410256,19.84238672,14.14285714,2.145888594,5.905797101,20.86231884,0.229383619,0.810301154
71.74,0.36,14.99,2.99,0.02,1.01,1.36,3.88,3.59,0.05,14.18,28.09,3.33,12.03,1.78,0.43,1.06,0.14,0.69,0.13,0.36,0.05,0.39,0.07,641,3.6,117,731,2.51,3.47,0.26,5.93,1.73,19.69,90.04,2.71,63.66,9.99,18.46,7.47,3.938888889,0.963888889,269.7416974,8.897435897,178.0555556,26.08027697,72.02564103,25.01111111,7.966292135,1.769230769,4.564102564,50.58426966,0.182527301,30.84615385,0.027888446,7.802777778,3.341666667,15.20512821,2.717948718,11.48287779,5.481203008,1.647222222,3.686346863,6.811808118,0.156927427,0.289978008
69.04,0.3,16.19,4.24,0.02,1.08,1.33,3.95,3.8,0.05,8.52,16.98,2.05,7.46,1.22,0.29,0.72,0.1,0.54,0.11,0.31,0.05,0.4,0.08,579,3.05,133,670,2.72,3.65,0.31,8.98,1.89,22,96.1,3.58,41.67,12.86,25.12,7.75,2.793442623,1.196721311,187.150838,9.125,189.8360656,15.27848101,42.45,31.50819672,6.983606557,1.35,3.05,78.7704918,0.22970639,18.65,0.029411765,5.567213115,2.445901639,22.45,1.8,16.0787137,5.815384615,2.944262295,3.592178771,7.016759777,0.308615311,0.602831773
68.99,0.48,17.29,3.17,0.01,1.32,0.71,4.82,3.16,0.04,12.2,25.88,3.27,12.5,2.25,0.52,1.39,0.18,0.88,0.16,0.43,0.07,0.5,0.08,658,4.28,143,696,2.9,3.3,0.23,7.78,2.86,9.57,110,3.4,65.63,9.77,16.77,7.99,2.85046729,0.771028037,204.7058824,6.6,153.7383178,17.5021097,51.76,25.70093458,5.422222222,1.76,4.5,48.88888889,0.217325228,25,0.027586207,6.046728972,2.920560748,15.56,2.78,10.60490629,11.23188406,1.817757009,2.873529412,4.932352941,0.148864848,0.255523389
61.47,0.49,18.98,6.77,0.21,3.46,3.23,3.63,1.62,0.14,12.75,24.9,3.11,12.38,2.58,0.82,2.47,0.42,2.56,0.54,1.53,0.23,1.5,0.24,551.4,12.69,57.2,676,1.71,6.21,0.45,3.26,1.21,5.3,52.27,9.23,136,9.25,29.9,5.26,1.004728132,0.489361702,73.23943662,4.14,43.45153664,6.097046414,16.6,4.118991332,4.941860465,1.706666667,1.72,20.25968992,0.103735945,8.253333333,0.140350877,1.962174941,0.975571316,2.173333333,1.646666667,4.970588235,1.629032258,0.256895193,1.002166847,3.23943662,0.068014706,0.219852941
62.63,0.51,17.84,5.71,0.15,2.4,4.49,5.17,0.97,0.13,16.38,32.9,3.85,15.49,3.24,1.02,3.07,0.51,3.09,0.66,1.84,0.29,1.9,0.3,837.7,16.85,36.2,442.4,2.8,6.34,0.47,3.78,1.23,10.3,104.5,10.11,115.1,7.85,20.1,6.14,0.972106825,0.376261128,43.7586548,3.336842105,49.71513353,6.183877415,17.31578947,6.201780415,5.055555556,1.626315789,1.705263158,32.25308642,0.043213561,8.152631579,0.107142857,1.952522255,0.919287834,1.989473684,1.615789474,3.843614248,1.367816092,0.224332344,0.776458952,1.988130564,0.068201564,0.174630756
63.72,0.56,18.18,6.57,0.19,1.96,3.43,1.97,3.3,0.12,15.95,32.9,3.79,16.09,3.33,1.02,3.28,0.53,3.15,0.67,1.89,0.29,1.9,0.31,371.9,16.69,109.5,1003.2,2.76,7.39,0.54,3.93,1.22,14.6,89.86,12.8,96.9,7.8,9.3,5.27,0.955662073,0.442780108,78.375,3.889473684,22.28280407,6.021541195,17.31578947,5.384062313,4.78978979,1.657894737,1.752631579,26.98498498,0.294433988,8.468421053,0.112318841,1.971240264,0.96405033,2.068421053,1.726315789,10.35294118,1.539393939,0.235470342,0.609375,0.7265625,0.080495356,0.095975232
