SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
62.59,0.61,15.77,5.96,0.1,4.17,5.75,2.31,2.63,0.11,34.4,62.7,6.9,25.2,4.6,0.97,4.33,0.757,4.57,0.804,2.54,0.395,2.57,0.39,183,23.4,113,280,1.88,8.62,0.818,14.7,0.897,17.4,40.4,24.7,159,15.4,87.1,4.94,1.47008547,0.368376068,11.33603239,3.354085603,7.820512821,9.60120836,24.39688716,1.726495726,7.47826087,1.778210117,1.789883268,8.782608696,0.617486339,9.805447471,0.207446809,2.679487179,1.076923077,5.719844358,1.684824903,1.761006289,0.858676208,0.628205128,0.623481781,3.526315789,0.096855346,0.547798742,39.41038016,156.3,1.8,32.55206667,80.18593333
65.02,0.57,14.6,5.67,0.11,4.35,4.85,2.16,2.58,0.09,24.1,49.9,5.83,23.1,4.89,0.895,4.43,0.788,4.78,0.839,2.49,0.415,2.61,0.406,164,23.6,110,424,1.41,9.36,0.895,10.7,0.825,15.4,18.5,23.7,147,25.9,170,4.74,1.021186441,0.396610169,17.89029536,3.586206897,6.949152542,6.623340932,19.11877395,0.783898305,4.928425358,1.831417625,1.873563218,3.783231084,0.670731707,8.850574713,0.287943262,2.11440678,0.978813559,4.099616858,1.697318008,2.884353741,0.976645435,0.453389831,1.092827004,7.172995781,0.176190476,1.156462585,38.29408881,155,2,32.55276667,80.20843333
63.71,0.54,15.93,5.3,0.1,3.24,5.87,2.25,2.95,0.1,35.8,64.5,6.76,25,4.56,1.01,4.24,0.738,4.35,0.782,2.33,0.39,2.26,0.346,236,22.2,120,498,1.71,9.33,0.835,16.5,2.89,15.7,57.9,19.1,130,12.3,53,5.2,1.612612613,0.42027027,26.07329843,4.128318584,10.63063063,11.36253314,28.53982301,2.608108108,7.850877193,1.924778761,2.017699115,12.69736842,0.508474576,11.0619469,0.202339181,2.905405405,1.126126126,7.300884956,1.876106195,3.830769231,0.886164623,0.743243243,0.643979058,2.77486911,0.094615385,0.407692308,41.789141,155,2,32.54153333,80.24038333
62.41,0.6,15.72,5.99,0.12,4.45,6.33,1.98,2.28,0.11,27.1,53,5.86,23,4.34,0.992,4.3,0.727,4.47,0.828,2.56,0.398,2.38,0.377,200,23.7,116,416,1.06,8.94,0.768,12.1,1.44,12.9,18.5,23.4,154,23.8,157,4.27,1.143459916,0.37721519,17.77777778,3.756302521,8.438818565,8.167570826,22.26890756,0.780590717,6.244239631,1.878151261,1.823529412,4.262672811,0.58,9.663865546,0.355660377,2.23628692,0.970464135,5.084033613,1.806722689,2.701298701,0.673701299,0.510548523,1.017094017,6.709401709,0.154545455,1.019480519,38.26654324,159.4,1.6,32.54113333,80.29053333
60.36,0.68,16.7,7.06,0.15,3.73,7,2.21,1.97,0.13,28,57.9,6.36,25.8,4.83,1.03,4.59,0.862,4.99,0.896,2.86,0.454,2.92,0.469,250,27.4,86.3,291,1.31,8.83,0.74,9.56,1.02,8.67,23,23.9,176,7.87,36.4,4.18,1.02189781,0.322262774,12.17573222,3.023972603,9.124087591,6.878215132,19.82876712,0.839416058,5.797101449,1.70890411,1.654109589,4.761904762,0.3452,8.835616438,0.358015267,2.113138686,0.941605839,3.273972603,1.571917808,1.653409091,0.596774194,0.348905109,0.329288703,1.523012552,0.044715909,0.206818182,29.29265292,149.3,1.6,32.55098333,80.4036
63.67,0.53,16.1,5.6,0.12,3.15,5.99,2.28,2.44,0.11,34,61.3,6.5,23.9,4.33,0.974,4.06,0.734,4.24,0.742,2.31,0.339,2.37,0.34,247,22,113,291,0.886,8.39,0.843,21.3,1.84,11.6,14.5,19.4,147,8.84,40,4.72,1.545454545,0.381363636,15,3.540084388,11.22727273,10.29037369,25.8649789,0.659090909,7.852193995,1.789029536,1.827004219,3.348729792,0.457489879,10.08438819,0.383747178,2.786363636,1.086363636,8.987341772,1.713080169,1.979591837,0.788395904,0.968181818,0.455670103,2.06185567,0.060136054,0.272108844,37.51948653,155,2,32.53985,80.45071667
67.25,0.41,15.58,3.57,0.07,1.81,3.83,1.9,5.49,0.1,14.5,27.4,3.23,14.1,3.09,1.04,2.91,0.512,2.91,0.561,1.58,0.274,1.58,0.211,344,15.3,155,1511,0.382,5.81,0.431,4.4,0.511,26.1,9.01,11.8,95.6,5.47,17.1,7.39,0.947712418,0.379738562,128.0508475,3.67721519,22.48366013,6.582812583,17.34177215,0.588888889,4.692556634,1.841772152,1.955696203,2.915857605,0.450581395,8.924050633,0.552356021,1.790849673,0.921568627,2.784810127,1.841772152,15.80543933,1.930851064,0.287581699,0.463559322,1.449152542,0.057217573,0.178870293,46.04139588,155,2,32.53815,80.52281667
67.35,0.57,16.14,3.23,0.05,2.16,4.17,4.46,1.71,0.17,16.4,30.9,3.7,14.1,2.66,0.76,2.26,0.371,2.25,0.379,0.91,0.14,0.865,0.116,406,9.87,66.3,315,1.34,10.3,0.743,4.98,1.19,19.5,42.4,8.03,77.3,27.3,41.2,6.16,1.661600811,1.043566363,39.22789539,11.90751445,41.13475177,13.5996683,35.72254335,4.295845998,6.165413534,2.601156069,3.075144509,15.93984962,0.163300493,16.30057803,0.086567164,3.130699088,1.428571429,5.757225434,2.612716763,4.075032342,1.476885645,0.504559271,3.399750934,5.130759651,0.35316947,0.532988357,51.19121239,155,2,32.50771667,80.83561667
78.9,0.11,12.27,1.08,0.02,0.14,0.43,2.53,4.48,0.04,29.3,54.7,6.25,21.8,4.08,0.401,4.14,0.785,4.45,0.868,2.87,0.467,3.09,0.455,43.3,27.9,171,257,4.01,14.9,1.55,17.1,2.79,22.1,95.4,3.29,8.88,1.83,6.79,7.01,1.050179211,0.534050179,78.11550152,4.822006472,1.551971326,6.801578523,17.70226537,3.419354839,7.181372549,1.44012945,1.32038835,23.38235294,3.949191686,7.055016181,0.113466334,1.960573477,0.781362007,5.533980583,1.339805825,28.94144144,16.47619048,0.612903226,0.556231003,2.063829787,0.206081081,0.76463964,46.36711948,155,2,32.35006667,80.52466667
63.96,0.53,15.01,5.47,0.11,4.4,5.79,2.13,2.49,0.1,29,55.3,6.12,23,4.44,1.03,4.4,0.712,3.88,0.838,2.27,0.394,2.56,0.361,173,21.9,103,391,1.81,8.71,0.839,13.3,1.32,13.5,45.7,22.4,153,32.9,170,4.62,1.324200913,0.397716895,17.45535714,3.40234375,7.899543379,8.125659283,21.6015625,2.086757991,6.531531532,1.515625,1.734375,10.29279279,0.595375723,8.984375,0.199447514,2.525114155,1.050228311,5.1953125,1.71875,2.555555556,0.797178131,0.607305936,1.46875,7.589285714,0.21503268,1.111111111,40.44139539,163.6,1.9,32.38721667,80.5734
